425	S135+1	145.66	0.045
426	S135	145.65	0.045
427	S134	145.64	0.045
428	S133	145.63	0.045
429	S132	145.62	0.045
430	S131	145.61	0.045
431	S130	145.6	0.045
432	S129+1	145.59	0.045
433	S129	145.58	0.045
434	S128	145.57	0.045
435	S127	145.56	0.045
436	S126	145.55	0.045
437	S125	145.54	0.045
438	S124	145.53	0.045
439	S123	145.52	0.045
440	S122	145.51	0.045
441	S121	145.5	0.045
442	S120	145.49	0.045
443	S119	145.48	0.045
444	S118	145.47	0.045
445	S117	145.46	0.045
446	S116	145.45	0.045
447	S115	145.44	0.045
448	S114	145.43	0.045
449	S113	145.42	0.075
450	S112	145.41	0.075
451	S111	145.4	0.075
452	S110	145.39	0.075
453	S109	145.38	0.075
454	S108	145.37	0.075
455	S107	145.36	0.075
456	S106	145.35	0.075
457	S105-1	145.34	0.075
458	S104	145.33	0.075
459	S103	145.32	0.075
460	S102-1	145.31	0.075
461	S101	145.3	0.075
462	S100-1	145.29	0.075
463	S99-1	145.28	0.075
464	S98	145.27	0.075
465	S97-1	145.26	0.075
466	S96	145.25	0.075
467	S95-1	145.24	0.075
468	S94	145.23	0.075
469	S93	145.22	0.075
470	S92-1	145.21	0.075
471	S91-1	145.2	0.075
472	S90-1	145.19	0.075
473	S89	145.18	0.075
474	S88	145.17	0.075
475	S87	145.16	0.075
476	S86	145.15	0.075
477	S85	145.14	0.075
478	S84	145.13	0.075
479	S83	145.12	0.075
480	S82	145.11	0.075
481	S81	145.1	0.075
482	S80	145.09	0.075
483	S79	145.08	0.075
484	S78	145.07	0.075
485	S77-1	145.06	0.075
486	S76-1	145.05	0.075
487	S75	145.04	0.075
488	S74	145.03	0.075
489	S73-1	145.02	0.075
490	S72	145.01	0.075
491	S71-1	145	0.075
492	S70	145	0.075
493	S69	145	0.075
494	S68	145	0.075
495	S67	145	0.075
496	S66-1	145	0.075
497	S65	145	0.075
498	S64	145	0.075
499	S63	145	0.075
500	S62-1	145	0.075
501	S61	145	0.075
502	S60-1	145	0.075
503	S59-1	145	0.075
504	S58-1	145	0.075
505	S57-1	145	0.075
506	S56-1	145	0.075
507	S55	145	0.075
508	S54	145	0.075
509	S53	145	0.075
510	S52	145	0.075
511	S51-1	145	0.075
512	S50-1	145	0.075
513	S49	145	0.075
514	S48	145	0.075
515	S47	145	0.075
516	S46	145	0.075
517	S45	145	0.075
518	S44-1	145	0.075
519	S43	145	0.075
520	S42-1	145	0.075
521	S41	145	0.075
522	S40-1	145	0.075
523	S39-2	145	0.075
524	S38	145	0.075
525	S37	145	0.075
526	S36	145	0.075
527	S35	145	0.075
528	S34+1	145	0.075
529	S34	145	0.075
530	S33+1	145	0.075
531	S33	145	0.075
532	S32+1	145	0.075
533	S32	145	0.075
534	S31+1	145	0.075
535	S31	145	0.075
536	S30+3	145	0.075
537	S30+2	145	0.075
538	S30+1	145	0.075
